REF_AREA,MEASURE,TIME_PERIOD,OBS_VALUE
AUS,PFC,1994,1946.68
AUS,SF,1994,304.682
AUS,CH4,1995,146247.772
AUS,CO2,1995,348075.4
AUS,HFC,1995,862.281
AUS,N2O,1995,17323.762
AUS,PFC,1995,1376.828
AUS,SF,1995,325.923
AUS,CH4,1996,146453.737
AUS,CO2,1996,355297.004
AUS,HFC,1996,255.363
AUS,N2O,1996,18738.149
AUS,PFC,1996,1268.504
AUS,SF,1996,297.974
AUS,CH4,1997,149484.184
AUS,CO2,1997,352203.16299999994
AUS,HFC,1997,426.823
AUS,N2O,1997,19356.613
AUS,PFC,1997,1104.595
AUS,SF,1997,274.963
AUS,CH4,1998,149234.473
AUS,CO2,1998,353346.19
AUS,HFC,1998,607.017
AUS,N2O,1998,19404.214
AUS,PFC,1998,1493.465
AUS,SF,1998,247.582
AUS,CH4,1999,146216.051
AUS,CO2,1999,370978.315
AUS,HFC,1999,904.918
AUS,N2O,1999,20268.744
AUS,PFC,1999,1024.466
AUS,SF,1999,217.776
AUS,CH4,2000,152577.471
AUS,CO2,2000,389883.265
AUS,HFC,2000,1150.493
AUS,N2O,2000,21370.553
AUS,PFC,2000,1157.579
AUS,SF,2000,218.949
AUS,CH4,2001,150793.184
AUS,CO2,2001,410933.301
AUS,HFC,2001,1547.718
AUS,N2O,2001,21516.03
AUS,PFC,2001,1620.606
AUS,SF,2001,225.513
AUS,CH4,2002,149355.708
AUS,CO2,2002,407434.136
AUS,HFC,2002,1939.884
AUS,N2O,2002,22009.008
AUS,PFC,2002,1553.818
AUS,SF,2002,232.006
AUS,CH4,2003,141624.702
AUS,CO2,2003,424404.811
AUS,HFC,2003,2431.441
AUS,N2O,2003,21275.306
AUS,PFC,2003,1514.57
AUS,SF,2003,236.148
AUS,CH4,2004,141853.809
AUS,CO2,2004,416096.336
AUS,HFC,2004,2925.329
AUS,N2O,2004,22199.153
AUS,PFC,2004,1541.43
AUS,SF,2004,237.746
AUS,CH4,2005,144631.892
AUS,CO2,2005,443673.136
AUS,HFC,2005,3699.514
AUS,N2O,2005,22474.929
AUS,PFC,2005,1611.45
AUS,SF,2005,202.24
AUS,CH4,2006,144992.01200000002
AUS,CO2,2006,454289.462
AUS,HFC,2006,4108.715
AUS,N2O,2006,22590.571
AUS,PFC,2006,617.939
AUS,SF,2006,191.781
AUS,CH4,2007,146015.688
AUS,CO2,2007,468786.295
AUS,HFC,2007,4706.377
